
*******   STEP   1      *** NEFF=10 CALCULATION                
   35   0.187E-02   0.187E+01   0.933E-02
   36   0.187E-02   0.185E+01   0.897E-02
   37   0.187E-02   0.183E+01   0.863E-02
   38   0.187E-02   0.181E+01   0.829E-02
   39   0.187E-02   0.179E+01   0.797E-02
   40   0.187E-02   0.177E+01   0.766E-02
   41   0.187E-02   0.175E+01   0.736E-02
   42   0.186E-02   0.173E+01   0.708E-02
   43   0.186E-02   0.170E+01   0.680E-02
   44   0.185E-02   0.168E+01   0.653E-02
   45   0.185E-02   0.165E+01   0.627E-02
   46   0.184E-02   0.162E+01   0.603E-02
   47   0.183E-02   0.159E+01   0.579E-02
   48   0.182E-02   0.157E+01   0.556E-02
   49   0.188E-02   0.154E+01   0.532E-02
   50   0.188E-02   0.150E+01   0.510E-02
   51   0.186E-02   0.147E+01   0.489E-02
   52   0.185E-02   0.144E+01   0.469E-02
   53   0.176E-02   0.141E+01   0.451E-02
   54   0.181E-02   0.138E+01   0.432E-02
   55   0.180E-02   0.134E+01   0.413E-02
   56   0.178E-02   0.131E+01   0.396E-02
   57   0.176E-02   0.127E+01   0.380E-02
   58   0.174E-02   0.124E+01   0.365E-02
   59   0.172E-02   0.121E+01   0.350E-02
   60   0.169E-02   0.117E+01   0.335E-02
   61   0.167E-02   0.114E+01   0.320E-02
   62   0.164E-02   0.110E+01   0.306E-02
   63   0.162E-02   0.107E+01   0.294E-02
   64   0.159E-02   0.104E+01   0.282E-02
   65   0.156E-02   0.100E+01   0.271E-02
   66   0.153E-02   0.970E+00   0.259E-02
   67   0.150E-02   0.938E+00   0.247E-02
   68   0.147E-02   0.906E+00   0.236E-02
   69   0.144E-02   0.875E+00   0.227E-02
   70   0.141E-02   0.844E+00   0.218E-02
   71   0.138E-02   0.815E+00   0.210E-02
   72   0.134E-02   0.785E+00   0.200E-02
   73   0.131E-02   0.757E+00   0.191E-02
   74   0.128E-02   0.729E+00   0.182E-02
   75   0.124E-02   0.702E+00   0.175E-02
   76   0.121E-02   0.676E+00   0.168E-02
   77   0.118E-02   0.650E+00   0.162E-02
   78   0.114E-02   0.626E+00   0.155E-02
   79   0.111E-02   0.602E+00   0.147E-02
   80   0.108E-02   0.578E+00   0.140E-02
   81   0.104E-02   0.556E+00   0.135E-02
   82   0.101E-02   0.534E+00   0.130E-02
   83   0.977E-03   0.513E+00   0.125E-02
   84   0.945E-03   0.492E+00   0.119E-02
   85   0.913E-03   0.473E+00   0.113E-02
   86   0.883E-03   0.454E+00   0.108E-02
   87   0.852E-03   0.435E+00   0.104E-02
   88   0.822E-03   0.418E+00   0.999E-03
   89   0.793E-03   0.401E+00   0.962E-03
   90   0.765E-03   0.384E+00   0.918E-03
   91   0.737E-03   0.369E+00   0.872E-03
   92   0.710E-03   0.353E+00   0.831E-03
   93   0.684E-03   0.339E+00   0.798E-03
   94   0.658E-03   0.325E+00   0.769E-03
   95   0.633E-03   0.311E+00   0.741E-03
   96   0.609E-03   0.298E+00   0.707E-03
   97   0.585E-03   0.286E+00   0.671E-03
   98   0.563E-03   0.274E+00   0.639E-03
   99   0.541E-03   0.263E+00   0.613E-03
  100   0.520E-03   0.252E+00   0.592E-03

*******   STEP   8      *** NEFF=10 CALCULATION                
    1   0.199E-01   0.169E+01   0.105E+00
    2   0.783E-02   0.195E+01   0.628E-01
    3   0.453E-02   0.198E+01   0.394E-01
    4   0.327E-02   0.198E+01   0.269E-01
    5   0.268E-02   0.198E+01   0.208E-01
    6   0.237E-02   0.198E+01   0.181E-01
    7   0.219E-02   0.197E+01   0.171E-01
    8   0.206E-02   0.197E+01   0.166E-01
    9   0.196E-02   0.196E+01   0.163E-01
   10   0.187E-02   0.196E+01   0.160E-01
   11   0.180E-02   0.195E+01   0.158E-01
   12   0.173E-02   0.195E+01   0.156E-01
   13   0.167E-02   0.194E+01   0.153E-01
   14   0.161E-02   0.194E+01   0.151E-01
   15   0.156E-02   0.193E+01   0.149E-01
   16   0.151E-02   0.193E+01   0.146E-01
   17   0.146E-02   0.193E+01   0.144E-01
   18   0.141E-02   0.192E+01   0.142E-01
   19   0.137E-02   0.192E+01   0.140E-01
   20   0.133E-02   0.192E+01   0.138E-01
